날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-04-18_1528,저티어,탱커,개시자,둠피스트,52.5,2.4,1.219,S
2026-04-18_1528,저티어,탱커,강건한 자,라인하르트,50.8,7.5,1.006,A
2026-04-18_1528,저티어,탱커,강건한 자,도미나,50.1,9.2,0.881,A
2026-04-18_1528,저티어,탱커,강건한 자,라마트라,49.7,9.8,0.776,B
2026-04-18_1528,저티어,탱커,개시자,D.VA,47.3,10.5,-0.12,B
2026-04-18_1528,저티어,탱커,개시자,레킹볼,49.1,2.1,-0.168,C
2026-04-18_1528,저티어,탱커,투사,마우가,48.1,5.9,-0.221,C
2026-04-18_1528,저티어,탱커,투사,로드호그,44.6,5.1,-1.694,D
2026-04-18_1528,저티어,딜러,측면 공격가,리퍼,53.7,13.6,2.341,S
2026-04-18_1528,저티어,딜러,측면 공격가,겐지,51.8,8.3,1.246,A
2026-04-18_1528,저티어,딜러,전문가,바스티온,47.9,11.4,-0.118,B
2026-04-18_1528,저티어,딜러,전문가,메이,48.4,4.6,-0.349,C
2026-04-18_1528,저티어,힐러,의무관,모이라,49.9,24.2,1.241,S
2026-04-18_1528,저티어,힐러,생존왕,미즈키,51.0,14.0,1.141,A
2026-04-18_1528,저티어,힐러,전술가,루시우,47.9,8.0,-0.416,B
2026-04-18_1528,저티어,힐러,의무관,라이프위버,48.1,6.1,-0.437,B
2026-04-18_1528,저티어,힐러,의무관,메르시,46.7,10.2,-0.78,C
2026-04-18_1528,저티어,힐러,전술가,바티스트,43.7,5.5,-2.229,D
2026-04-18_1528,중티어,탱커,강건한 자,도미나,52.1,5.4,1.381,S
2026-04-18_1528,중티어,탱커,개시자,D.VA,50.9,8.0,1.162,A
2026-04-18_1528,중티어,탱커,개시자,둠피스트,50.3,6.1,0.731,A
2026-04-18_1528,중티어,탱커,강건한 자,라마트라,49.5,5.9,0.391,B
2026-04-18_1528,중티어,탱커,개시자,레킹볼,48.3,3.5,-0.329,B
2026-04-18_1528,중티어,탱커,투사,마우가,47.8,5.5,-0.329,C
2026-04-18_1528,중티어,탱커,강건한 자,라인하르트,47.4,7.0,-0.339,C
2026-04-18_1528,중티어,탱커,투사,로드호그,42.2,6.5,-2.469,D
2026-04-18_1528,중티어,딜러,측면 공격가,겐지,52.2,17.2,1.917,S
2026-04-18_1528,중티어,딜러,측면 공격가,리퍼,52.7,12.8,1.852,A
2026-04-18_1528,중티어,딜러,전문가,메이,49.0,5.1,-0.092,B
2026-04-18_1528,중티어,딜러,전문가,바스티온,45.8,4.7,-1.397,C
2026-04-18_1528,중티어,힐러,의무관,라이프위버,49.4,8.5,0.383,S
2026-04-18_1528,중티어,힐러,생존왕,미즈키,49.1,9.8,0.359,A
2026-04-18_1528,중티어,힐러,전술가,루시우,49.0,5.2,-0.019,B
2026-04-18_1528,중티어,힐러,의무관,메르시,48.1,7.7,-0.195,B
2026-04-18_1528,중티어,힐러,의무관,모이라,47.2,11.9,-0.247,C
2026-04-18_1528,중티어,힐러,전술가,바티스트,44.2,6.0,-1.88,D
2026-04-18_1528,고티어,탱커,개시자,D.VA,51.1,4.8,1.001,S
2026-04-18_1528,고티어,탱커,개시자,둠피스트,49.1,9.2,0.714,A
2026-04-18_1528,고티어,탱커,개시자,레킹볼,49.9,4.4,0.474,A
2026-04-18_1528,고티어,탱커,강건한 자,도미나,49.6,4.0,0.307,B
2026-04-18_1528,고티어,탱커,투사,마우가,46.7,4.9,-0.748,B
2026-04-18_1528,고티어,탱커,강건한 자,라마트라,46.7,4.2,-0.829,C
2026-04-18_1528,고티어,탱커,강건한 자,라인하르트,44.0,4.4,-1.886,C
2026-04-18_1528,고티어,탱커,투사,로드호그,40.0,5.2,-3.393,D
2026-04-18_1528,고티어,딜러,측면 공격가,리퍼,52.8,13.1,2.034,S
2026-04-18_1528,고티어,딜러,측면 공격가,겐지,49.5,16.5,0.951,A
2026-04-18_1528,고티어,딜러,전문가,메이,47.4,2.8,-0.845,B
2026-04-18_1528,고티어,딜러,전문가,바스티온,44.9,2.0,-1.9,C
2026-04-18_1528,고티어,힐러,전술가,루시우,49.1,6.8,0.298,S
2026-04-18_1528,고티어,힐러,의무관,라이프위버,47.3,6.5,-0.451,A
2026-04-18_1528,고티어,힐러,생존왕,미즈키,46.5,6.7,-0.752,B
2026-04-18_1528,고티어,힐러,의무관,메르시,46.5,5.5,-0.868,B
2026-04-18_1528,고티어,힐러,의무관,모이라,46.6,5.0,-0.876,C
2026-04-18_1528,고티어,힐러,전술가,바티스트,43.0,6.7,-2.152,D
