날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-06-24_1658,저티어,탱커,강건한 자,라인하르트,54.2,10.2,2.515,S
2026-06-24_1658,저티어,탱커,개시자,둠피스트,51.1,9.6,1.226,A
2026-06-24_1658,저티어,탱커,강건한 자,도미나,51.6,6.6,1.181,A
2026-06-24_1658,저티어,탱커,개시자,레킹볼,49.9,3.7,0.263,B
2026-06-24_1658,저티어,탱커,투사,마우가,49.0,8.1,0.263,B
2026-06-24_1658,저티어,탱커,강건한 자,라마트라,48.9,7.1,0.142,C
2026-06-24_1658,저티어,탱커,투사,로드호그,45.6,6.5,-1.228,C
2026-06-24_1658,저티어,탱커,개시자,D.VA,44.7,6.8,-1.563,D
2026-06-24_1658,저티어,딜러,전문가,메이,54.6,5.7,2.446,S
2026-06-24_1658,저티어,딜러,측면 공격가,겐지,51.0,8.1,1.262,A
2026-06-24_1658,저티어,딜러,측면 공격가,벤데타,51.2,2.6,0.757,B
2026-06-24_1658,저티어,딜러,측면 공격가,리퍼,48.7,5.5,0.065,C
2026-06-24_1658,저티어,딜러,전문가,바스티온,48.0,6.3,-0.13,D
2026-06-24_1658,저티어,힐러,생존왕,미즈키,53.9,19.8,2.624,S
2026-06-24_1658,저티어,힐러,의무관,모이라,53.6,20.9,2.563,A
2026-06-24_1658,저티어,힐러,전술가,루시우,49.9,5.0,0.229,B
2026-06-24_1658,저티어,힐러,의무관,라이프위버,48.8,8.6,-0.018,B
2026-06-24_1658,저티어,힐러,전술가,바티스트,46.2,4.9,-1.257,C
2026-06-24_1658,저티어,힐러,의무관,메르시,45.7,7.8,-1.301,D
2026-06-24_1658,중티어,탱커,강건한 자,도미나,52.7,3.9,1.451,S
2026-06-24_1658,중티어,탱커,개시자,둠피스트,51.6,8.3,1.43,A
2026-06-24_1658,중티어,탱커,강건한 자,라인하르트,51.0,9.6,1.314,A
2026-06-24_1658,중티어,탱커,개시자,D.VA,47.4,5.7,-0.497,B
2026-06-24_1658,중티어,탱커,개시자,레킹볼,47.7,4.2,-0.52,B
2026-06-24_1658,중티어,탱커,투사,마우가,46.7,6.8,-0.672,C
2026-06-24_1658,중티어,탱커,강건한 자,라마트라,46.6,5.1,-0.874,C
2026-06-24_1658,중티어,탱커,투사,로드호그,42.9,6.8,-2.192,D
2026-06-24_1658,중티어,딜러,측면 공격가,겐지,51.8,12.7,1.781,S
2026-06-24_1658,중티어,딜러,전문가,메이,50.9,7.4,0.978,A
2026-06-24_1658,중티어,딜러,측면 공격가,리퍼,47.4,8.8,-0.305,B
2026-06-24_1658,중티어,딜러,측면 공격가,벤데타,48.6,2.0,-0.393,C
2026-06-24_1658,중티어,딜러,전문가,바스티온,47.2,5.0,-0.702,D
2026-06-24_1658,중티어,힐러,의무관,모이라,51.4,19.6,1.938,S
2026-06-24_1658,중티어,힐러,생존왕,미즈키,52.3,12.3,1.785,A
2026-06-24_1658,중티어,힐러,전술가,루시우,46.6,3.0,-1.149,B
2026-06-24_1658,중티어,힐러,의무관,메르시,46.0,5.1,-1.241,B
2026-06-24_1658,중티어,힐러,전술가,바티스트,45.2,5.0,-1.568,C
2026-06-24_1658,중티어,힐러,의무관,라이프위버,44.5,6.2,-1.764,D
2026-06-24_1658,고티어,탱커,강건한 자,라인하르트,54.2,10.2,2.515,S
2026-06-24_1658,고티어,탱커,개시자,둠피스트,51.1,9.6,1.226,A
2026-06-24_1658,고티어,탱커,강건한 자,도미나,51.6,6.6,1.181,A
2026-06-24_1658,고티어,탱커,개시자,레킹볼,49.9,3.7,0.263,B
2026-06-24_1658,고티어,탱커,투사,마우가,49.0,8.1,0.263,B
2026-06-24_1658,고티어,탱커,강건한 자,라마트라,48.9,7.1,0.142,C
2026-06-24_1658,고티어,탱커,투사,로드호그,45.6,6.5,-1.228,C
2026-06-24_1658,고티어,탱커,개시자,D.VA,44.7,6.8,-1.563,D
2026-06-24_1658,고티어,딜러,전문가,메이,54.6,5.7,2.446,S
2026-06-24_1658,고티어,딜러,측면 공격가,겐지,51.0,8.1,1.262,A
2026-06-24_1658,고티어,딜러,측면 공격가,벤데타,51.2,2.6,0.757,B
2026-06-24_1658,고티어,딜러,측면 공격가,리퍼,48.7,5.5,0.065,C
2026-06-24_1658,고티어,딜러,전문가,바스티온,48.0,6.3,-0.13,D
2026-06-24_1658,고티어,힐러,생존왕,미즈키,53.9,19.8,2.624,S
2026-06-24_1658,고티어,힐러,의무관,모이라,53.6,20.9,2.563,A
2026-06-24_1658,고티어,힐러,전술가,루시우,49.9,5.0,0.229,B
2026-06-24_1658,고티어,힐러,의무관,라이프위버,48.8,8.6,-0.018,B
2026-06-24_1658,고티어,힐러,전술가,바티스트,46.2,4.9,-1.257,C
2026-06-24_1658,고티어,힐러,의무관,메르시,45.7,7.8,-1.301,D
