날짜,랭크그룹,메인역할,서브롤,영웅,승률(%),픽률(%),점수,티어
2026-07-07_1703,저티어,탱커,강건한 자,라인하르트,53.7,10.0,2.316,S
2026-07-07_1703,저티어,탱커,강건한 자,도미나,51.8,6.1,1.23,A
2026-07-07_1703,저티어,탱커,개시자,둠피스트,51.0,9.3,1.178,A
2026-07-07_1703,저티어,탱커,투사,마우가,49.1,8.1,0.317,B
2026-07-07_1703,저티어,탱커,개시자,레킹볼,49.8,3.6,0.221,B
2026-07-07_1703,저티어,탱커,강건한 자,라마트라,48.9,6.9,0.137,C
2026-07-07_1703,저티어,탱커,투사,로드호그,45.7,6.6,-1.168,C
2026-07-07_1703,저티어,탱커,개시자,D.VA,45.1,6.8,-1.391,D
2026-07-07_1703,저티어,딜러,전문가,메이,55.1,6.8,2.645,S
2026-07-07_1703,저티어,딜러,측면 공격가,겐지,51.0,9.6,1.255,A
2026-07-07_1703,저티어,딜러,측면 공격가,벤데타,50.9,3.0,0.627,B
2026-07-07_1703,저티어,딜러,측면 공격가,리퍼,49.6,6.7,0.436,C
2026-07-07_1703,저티어,딜러,전문가,바스티온,48.6,7.6,0.117,D
2026-07-07_1703,저티어,힐러,생존왕,미즈키,53.7,21.3,2.626,S
2026-07-07_1703,저티어,힐러,의무관,모이라,52.8,20.5,2.223,A
2026-07-07_1703,저티어,힐러,전술가,루시우,49.6,4.8,0.098,B
2026-07-07_1703,저티어,힐러,의무관,라이프위버,48.6,8.1,-0.124,B
2026-07-07_1703,저티어,힐러,전술가,바티스트,46.6,4.7,-1.107,C
2026-07-07_1703,저티어,힐러,의무관,메르시,45.7,7.5,-1.316,D
2026-07-07_1703,중티어,탱커,강건한 자,라인하르트,53.7,10.0,2.316,S
2026-07-07_1703,중티어,탱커,강건한 자,도미나,51.8,6.1,1.23,A
2026-07-07_1703,중티어,탱커,개시자,둠피스트,51.0,9.3,1.178,A
2026-07-07_1703,중티어,탱커,투사,마우가,49.1,8.1,0.317,B
2026-07-07_1703,중티어,탱커,개시자,레킹볼,49.8,3.6,0.221,B
2026-07-07_1703,중티어,탱커,강건한 자,라마트라,48.9,6.9,0.137,C
2026-07-07_1703,중티어,탱커,투사,로드호그,45.7,6.6,-1.168,C
2026-07-07_1703,중티어,탱커,개시자,D.VA,45.1,6.8,-1.391,D
2026-07-07_1703,중티어,딜러,전문가,메이,55.1,6.8,2.645,S
2026-07-07_1703,중티어,딜러,측면 공격가,겐지,51.0,9.6,1.255,A
2026-07-07_1703,중티어,딜러,측면 공격가,벤데타,50.9,3.0,0.627,B
2026-07-07_1703,중티어,딜러,측면 공격가,리퍼,49.6,6.7,0.436,C
2026-07-07_1703,중티어,딜러,전문가,바스티온,48.6,7.6,0.117,D
2026-07-07_1703,중티어,힐러,생존왕,미즈키,53.7,21.3,2.626,S
2026-07-07_1703,중티어,힐러,의무관,모이라,52.8,20.5,2.223,A
2026-07-07_1703,중티어,힐러,전술가,루시우,49.6,4.8,0.098,B
2026-07-07_1703,중티어,힐러,의무관,라이프위버,48.6,8.1,-0.124,B
2026-07-07_1703,중티어,힐러,전술가,바티스트,46.6,4.7,-1.107,C
2026-07-07_1703,중티어,힐러,의무관,메르시,45.7,7.5,-1.316,D
2026-07-07_1703,고티어,탱커,강건한 자,라인하르트,53.7,10.0,2.316,S
2026-07-07_1703,고티어,탱커,강건한 자,도미나,51.8,6.1,1.23,A
2026-07-07_1703,고티어,탱커,개시자,둠피스트,51.0,9.3,1.178,A
2026-07-07_1703,고티어,탱커,투사,마우가,49.1,8.1,0.317,B
2026-07-07_1703,고티어,탱커,개시자,레킹볼,49.8,3.6,0.221,B
2026-07-07_1703,고티어,탱커,강건한 자,라마트라,48.9,6.9,0.137,C
2026-07-07_1703,고티어,탱커,투사,로드호그,45.7,6.6,-1.168,C
2026-07-07_1703,고티어,탱커,개시자,D.VA,45.1,6.8,-1.391,D
2026-07-07_1703,고티어,딜러,전문가,메이,55.1,6.8,2.645,S
2026-07-07_1703,고티어,딜러,측면 공격가,겐지,51.0,9.6,1.255,A
2026-07-07_1703,고티어,딜러,측면 공격가,벤데타,50.9,3.0,0.627,B
2026-07-07_1703,고티어,딜러,측면 공격가,리퍼,49.6,6.7,0.436,C
2026-07-07_1703,고티어,딜러,전문가,바스티온,48.6,7.6,0.117,D
2026-07-07_1703,고티어,힐러,생존왕,미즈키,53.7,21.3,2.626,S
2026-07-07_1703,고티어,힐러,의무관,모이라,52.8,20.5,2.223,A
2026-07-07_1703,고티어,힐러,전술가,루시우,49.6,4.8,0.098,B
2026-07-07_1703,고티어,힐러,의무관,라이프위버,48.6,8.1,-0.124,B
2026-07-07_1703,고티어,힐러,전술가,바티스트,46.6,4.7,-1.107,C
2026-07-07_1703,고티어,힐러,의무관,메르시,45.7,7.5,-1.316,D
